index,congresistas,votos,partidos,asunto,fecha
10,ACUÑA PERALTA,LICENCIA/AUSENTE,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
11,MACHACA MAMANI,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
12,AGUILAR ZAMORA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
13,MAMANI BARRIGA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
14,ALARCÓN TEJADA,SI,"UPP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
15,MAQUERA CHÁVEZ |,SI,"UPP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
16,ALENCASTRE MIRANDA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
17,MELÉNDEZ CELIS,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
18,ALIAGA PAJARES,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
19,MENDOZA MARQUINA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
20,ALMERÍ VERAMENDI,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
21,MERINO DE LAMA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
22,ALONZO FERNÁNDEZ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
23,MERINO LÓPEZ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
24,ANCALLE GUTIERREZ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
25, MESÍA RAMÍREZ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
26,APAZA QUISPE,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
27,MONTOYA GUIVIN,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
28,ARAPA ROQUE,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
29,NOVOA CRUZADO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
30,ASCONA CALDERÓN,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
31,NÚÑEZ MARREROS,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
32,AYASTA DE DÍAZ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
33,NÚÑEZ SALAS,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
34,AYQUIPA TORRES,LICENCIA/AUSENTE,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
35,OLIVARES CORTÉS,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
36,BAJONERO OLIVAS,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
37,OMONTE DURAND,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
38,BARRIONUEVO ROMERO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
39,|OSEDA YUCRA M,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
40,BARTOLO ROMERO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
41,OYOLA RODRÍGUEZ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
42,BAZÁN VILLANUEVA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
43,PALOMINO SAAVEDRA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
44,BENAVIDES GAVIDIA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
45,PANTOJA CALVO,SI,"UPP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
46,|BENITES AGURTO |,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
47,PAREDES EYZAGUIRRE,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
48,BURGA CHUQUIPIONDO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
49,PÉREZ ESPÍRITU,LICENCIA/AUSENTE,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
50,CABRERA VEGA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
51,PÉREZ FLORES,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
52,CAMPOS VILLALOBOS,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
53,PÉREZ MIMBELA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
54,CARCAUSTO HUANCA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
55,PÉREZ OCHOA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
56,CASTILLO OLIVA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
57,PICHILINGUE GÓMEZ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
58,|CAYGUARAY GAMBINI I,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
59,PINEDA SANTOS,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
60,CAYLLAHUA BARRIENTOS,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
61,PINEDO ACHACA ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
62,CÉSPEDES CÁRDENAS DE VELÁSQUEZ,LICENCIA/AUSENTE,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
63, PUÑO LECARNAQUÉ,SI,"APP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
64,| CHAGUA PAYANO |,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
65,QUISPE APAZA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
